gene_raw	rna_log2fc	rna_fdr	gene_name
BTN3A1	1.864929533025328	2.885162969717656e-95	BTN3A1
C1QTNF6	2.3230731842164056	4.642504288621269e-95	C1QTNF6
OSCAR	2.5852605106866675	4.836819071820944e-95	OSCAR
GNLY	3.122332136777966	7.039162028155325e-95	GNLY
AC083862.1	2.1850727429024106	7.23337166768657e-95	AC083862.1
MS4A14	3.2140020366188944	8.751266003059934e-95	MS4A14
ARHGDIB	1.658067374791042	9.632411357946832e-95	ARHGDIB
HRH2	3.683402733974732	1.0768325862835998e-94	HRH2
PLA2G7	3.656868842602584	1.539311770654816e-94	PLA2G7
NUDT4	-1.8067901148577863	2.5915211967701954e-94	NUDT4
FOXCUT	-3.6325607449275097	2.7869738514573757e-94	FOXCUT
HOXD8	-1.8723865120777416	2.8951083106167666e-94	HOXD8
ELMO1	1.806887416891295	2.953422077359109e-94	ELMO1
OLFML2A	2.676597973338541	3.089549500846194e-94	OLFML2A
C1QB	2.9217346614391886	3.195830320371961e-94	C1QB
TRADD	1.443476282734486	3.5999195775028714e-94	TRADD
PSMB8	1.6420338104702277	4.0297197323595095e-94	PSMB8
AL139125.1	3.202871697964905	5.407496615508426e-94	AL139125.1
SPI1	2.362108080668564	5.985285384112143e-94	SPI1
PYGL	2.0163401219781227	8.188879343176846e-94	PYGL
PRMT6	-1.2937413954638122	8.325028574336669e-94	PRMT6
PTPN13	-1.8668143035086768	1.11638264503094e-93	PTPN13
SLC16A5	-3.0555771657822874	1.5096673511313512e-93	SLC16A5
ABAT	-3.0557085797363834	2.670742921088172e-93	ABAT
AL049838.1	-3.4912331756129724	2.9314879936726764e-93	AL049838.1
CSF3R	2.7451917962466865	3.481086717694932e-93	CSF3R
EFHD1	-2.62823519484362	6.579559567418766e-93	EFHD1
IL12RB1	2.587879358747899	7.4461213714947775e-93	IL12RB1
TUBA3D	6.502068044191698	9.006500698024495e-93	TUBA3D
L3MBTL4-AS1	2.8269997675281218	1.023208740377358e-92	L3MBTL4-AS1
LINC02568	-3.162286935026723	1.2269742067885699e-92	LINC02568
KLHL6	2.612174986440124	1.2537303579552847e-92	KLHL6
TBXAS1	1.7923711541507064	1.283650912233878e-92	TBXAS1
CAV1	2.22982037358676	1.2856007303024276e-92	CAV1
DNAJC11	-1.3432809058587722	1.7264022658169882e-92	DNAJC11
P2RY1	2.4123300919100386	2.3813745987257394e-92	P2RY1
APOBEC3G	2.329468246516647	2.7576768374420877e-92	APOBEC3G
FCGR1A	3.074404112468428	3.154004645442602e-92	FCGR1A
LDHA	1.677802323795038	3.210552484326603e-92	LDHA
RUNX3	2.6763711994706334	4.0050050269433e-92	RUNX3
LINC00944	3.883041488685712	4.311179192985739e-92	LINC00944
CLEC2D	2.613226314669781	4.575910305896547e-92	CLEC2D
LAPTM5	2.4584576563532448	4.585948546325189e-92	LAPTM5
TRPA1	3.7496424048673216	4.751426039510025e-92	TRPA1
CDC45	2.7379413786100057	5.8754678074574294e-92	CDC45
TRIM9	2.858391258482904	6.367344393960346e-92	TRIM9
LINC01378	-6.66812914059806	6.549396578042315e-92	LINC01378
PKMYT1	2.907594321618919	7.910651775516628e-92	PKMYT1
AC100860.1	-3.831040196751179	1.0482559783401867e-91	AC100860.1
VASH1	2.109745389738112	1.0501736362024338e-91	VASH1
PROX1	-4.31609938260303	1.3931865166187535e-91	PROX1
IKBIP	1.8122868021850893	1.5295190190948485e-91	IKBIP
AC009035.1	-6.7336106511396245	2.8711906613349583e-91	AC009035.1
DISC1	1.6474925483276006	2.894042203866216e-91	DISC1
AC009133.1	2.8761598184387043	2.981040747242844e-91	AC009133.1
FBXL8	1.8730338207673185	3.59896610360577e-91	FBXL8
EZH2	1.854400050772996	6.238943917133148e-91	EZH2
KLRD1	2.330271877192971	6.32656092360577e-91	KLRD1
GOLGA7B	3.862071702938708	6.623601560297953e-91	GOLGA7B
ITGA6-AS1	3.002938769478463	7.080079305797415e-91	ITGA6-AS1
PFKP	1.9305927248518333	7.262219644543091e-91	PFKP
C1orf162	2.34370995539689	8.20391942598353e-91	C1orf162
TMIGD3	2.6946492926526835	8.934692425332383e-91	TMIGD3
ETV7	2.676431514901534	9.153377221096143e-91	ETV7
HCLS1	1.9013850246963373	1.034882976288368e-90	HCLS1
SOST	-6.840630151996031	1.0388900893067014e-90	SOST
